Name,LastTX TimeStamp,Latitude,Longitude,SOG,COG
MGO176263,01-11-2025 07:16,-5.161333,9.7765,0.2,103.9
MGO176384,01-11-2025 07:17,-3.338667,7.831,0.2,242.6
MGO176391,01-11-2025 07:16,-4.159,7.921333,0.2,129.8
MGO176462,01-11-2025 07:04,-3.846333,8.767333,0,285.6
MGO176467,01-11-2025 07:10,-5.11,10.246,0.2,129.5
MGO176526,01-11-2025 07:17,-5.073167,8.817833,0.4,87.2
MGO176724,01-11-2025 07:13,-3.4365,7.255833,0.3,264.9
MGO177429,01-11-2025 07:22,-3.194667,8.337333,0.4,5
MGO178918,01-11-2025 07:06,-2.341667,9.411,0,0
MGO179119,01-11-2025 07:46,-2.424167,9.290667,0,63.4
MGO199106,01-11-2025 08:04,-3.268,10.2445,0,270
MGO133361,01-11-2025 08:13,-5.21,9.862667,0.4,98
MGO133384,01-11-2025 07:55,-6.419,10.341667,0.4,159.4
MGO174216,01-11-2025 08:58,-5.418667,9.392667,0.3,83.7
MGO174809,01-11-2025 09:12,-3.364,7.286333,0.2,280.8
MGO174812,01-11-2025 09:13,-5.113167,11.018,0.1,65.8
MGO133352,01-11-2025 09:23,-1.845833,7.958833,0.7,309.1
MGO183921,01-11-2025 09:02,-6.0905,10.826333,0.4,174.1
MGO184179,01-11-2025 09:04,-3.385667,10.187167,0.3,329.9
MGO184222,01-11-2025 09:07,-3.918667,10.869167,0,116.7
MGO184291,01-11-2025 09:05,-2.317,8.123167,0.7,330.1
MGO184369,01-11-2025 09:06,-5.7505,10.536167,0.3,147.7
MGO184371,01-11-2025 09:45,-4.523333,9.757167,0.2,99.5
MGO176470,01-11-2025 09:39,-4.763833,8.624333,0.2,55.6
MGO196968,01-11-2025 09:07,-6.3585,10.2405,0.4,157.1
MGO199125,01-11-2025 08:58,-5.403333,10.945333,0.2,97.2
MGO178982,01-11-2025 10:00,-3.130333,10.189833,0.7,318.6
MGO184199,01-11-2025 10:45,-4.521667,10.689667,0.3,63.8
MGO133427,01-11-2025 09:51,-5.4175,9.654333,0.6,81.5
MGO133435,01-11-2025 10:11,-4.621,10.403167,0.1,72.4
MGO190082,01-11-2025 10:36,-2.540833,9.314,0.5,316.7
MGO198882,01-11-2025 10:43,-2.783833,9.563333,0.3,322.7
MGO176595,01-11-2025 10:44,-4.568167,10.249833,0.2,91.5
MGO176608,01-11-2025 09:56,-5.716833,10.8045,0.3,174.9
MGO174828,01-11-2025 10:06,-4.764167,9.799833,0.2,57
MGO174816,01-11-2025 10:26,-4.185667,10.447667,0.9,346.6
MGO174817,01-11-2025 10:40,-3.211,10.094333,0,0
MGO178918,01-11-2025 11:07,-2.341667,9.411,0,0
MGO179119,01-11-2025 11:48,-2.424167,9.290167,0,270
MGO198870,01-11-2025 11:04,-3.948833,9.711,0.1,332.1
MGO184110,01-11-2025 11:19,-4.2755,9.601,0.1,190.6
MGO184082,01-11-2025 11:27,-4.746,8.4415,0.2,40.6
MGO184177,01-11-2025 11:24,-3.896833,10.885,0,0
MGO184186,01-11-2025 10:58,-5.686,10.766167,0.4,150.3
MGO184301,01-11-2025 11:20,-3.927,9.608,0.1,66.8
MGO176255,01-11-2025 11:07,-2.522,8.526,0.2,313
MGO176263,01-11-2025 11:16,-5.159333,9.800833,0.4,85.3
MGO176384,01-11-2025 11:17,-3.346833,7.817333,0.2,239.1
MGO176391,01-11-2025 11:16,-4.153833,7.9315,0.2,63
MGO176462,01-11-2025 11:04,-3.846,8.777167,0.1,88.1
MGO176467,01-11-2025 11:10,-5.119167,10.2655,0.3,115.3
MGO176526,01-11-2025 11:17,-5.067833,8.829167,0.2,65
MGO176724,01-11-2025 11:12,-3.442167,7.244333,0.2,243.7
MGO177429,01-11-2025 11:22,-3.170833,8.336167,0.4,357.2
MGO133361,01-11-2025 12:13,-5.205833,9.889833,0.4,81.2
MGO133384,01-11-2025 11:54,-6.4485,10.341333,0.4,180.6
MGO199106,01-11-2025 12:01,-3.268167,10.244333,0,225
MGO176470,01-11-2025 13:40,-4.757667,8.6445,0.3,72.9
MGO174809,01-11-2025 13:12,-3.3695,7.281667,0.1,220.3
MGO174812,01-11-2025 13:12,-5.119333,11.0255,0.1,129.5
MGO174216,01-11-2025 12:58,-5.410333,9.416667,0.4,70.8
MGO183921,01-11-2025 13:03,-6.105,10.8315,0.2,160.5
MGO184179,01-11-2025 13:05,-3.360833,10.1735,0.4,331.2
MGO184222,01-11-2025 13:05,-3.918667,10.868833,0,270
MGO184291,01-11-2025 13:05,-2.267,8.104667,0.8,339.9
MGO184369,01-11-2025 13:06,-5.770667,10.545167,0.3,156.1
MGO184371,01-11-2025 13:46,-4.514,9.764833,0.2,39.3
MGO196968,01-11-2025 13:07,-6.380833,10.246833,0.3,164.3
MGO199125,01-11-2025 12:57,-5.397,10.949333,0.1,32.2
MGO133352,01-11-2025 13:23,-1.811333,7.935333,0.6,325.8
MGO178982,01-11-2025 14:00,-3.099667,10.1515,0.7,308.8
MGO184199,01-11-2025 14:45,-4.512833,10.698833,0.2,46
MGO133427,01-11-2025 13:51,-5.4145,9.680833,0.4,83.5
MGO133435,01-11-2025 14:11,-4.62,10.4045,0,53
